7581,1,1049
5623,1,934
5613,1,934
4217,1,849
3334,1,761
3161,1,740
2144,1,708
2567,1,702
2315,1,675
1748,1,643
1671,1,639
4748,1,1616
6892,1,1008
7016,1,1015
3571,1,771
8581,1,1170
8380,1,1120
5383,1,922
4969,1,896
4675,1,879
4672,1,878
1565,1,633
8336,1,1111
8321,1,1109
8306,1,1107
8136,1,1091
7776,1,1064
7755,1,1060
7678,1,1054
7468,1,1041
7148,1,1021
6960,1,1011
6558,1,1001
6517,1,991
6364,1,981
6218,1,971
6086,1,961
5666,1,937
5391,1,922
5349,1,919
5224,1,912
5170,1,909
5137,1,906
4257,1,853
4025,1,834
3753,1,805
2583,1,698
1831,1,647
1393,1,624
1088,1,612
1159,1,611
594,1,576
292,1,552
8437,1,1125
7905,1,1117
6894,1,1006
6686,1,999
5886,1,950
4470,1,865
3801,1,811
3732,1,801
564,1,574
255,1,549
8498,1,1135
6999,1,1051
8688,1,1166
8601,1,1150
8286,1,1104
8226,1,1097
7761,1,1091
8099,1,1085
8096,1,1085
7935,1,1074
7910,1,1070
7595,1,1048
7262,1,1031
6703,1,999
6570,1,993
6513,1,993
5274,1,916
5022,1,900
4899,1,892
4467,1,865
4358,1,858
4207,1,847
4204,1,847
4066,1,836
3855,1,817
3324,1,734
2134,1,669
2088,1,663
2020,1,657
1641,1,636
1564,1,633
1432,1,625
1353,1,621
1242,1,616
1112,1,610
1059,1,606
1049,1,605
1019,1,604
712,1,585
490,1,568
434,1,564
377,1,558
324,1,554
8576,1,1146
7683,1,1076
5377,1,929
1451,1,627
7832,1,1081
7787,1,1080
4900,1,892
915,1,598
2772,1,1280
8432,1,1126
6856,1,1044
7424,1,1038
3600,1,821
1375,1,622
8245,1,1147
8558,1,1146
8273,1,1103
8267,1,1101
5946,1,959
5727,1,948
5509,1,935
5495,1,932
5159,1,909
8092,1,1146
8160,1,1142
8244,1,1103
7671,1,1084
7475,1,1059
7578,1,1047
7369,1,1037
6701,1,1005
5549,1,947
5194,1,911
5153,1,908
4998,1,899
4889,1,898
4876,1,891
1800,1,646
1734,1,642
1617,1,635
1581,1,634
1551,1,632
1380,1,632
1386,1,623
8750,2,1179
8729,2,1175
8723,2,1173
8416,2,1127
8330,2,1111
8043,2,1095
7907,2,1078
7493,2,1058
7204,2,1046
7021,2,1029
6835,2,1009
6377,2,997
6404,2,980
5634,2,960
5839,2,948
5514,2,931
5124,2,911
4863,2,899
4650,2,882
4288,2,862
4235,2,850
4018,2,833
3814,2,813
3669,2,788
3209,2,761
3337,2,753
3095,2,736
2887,2,712
2016,2,704
1865,2,687
1462,2,663
1640,2,655
1630,2,638
1222,2,614
1062,2,606
757,2,589
454,2,565
356,2,557
2,2,482
8812,3,1192
8795,3,1188
8596,3,1149
8101,3,1120
8299,3,1106
7091,3,1067
7601,3,1059
7085,3,1045
6573,3,998
6582,3,994
5745,3,943
5410,3,925
4803,3,916
4546,3,870
4456,3,864
4150,3,843
3402,3,743
3273,3,729
3127,3,719
2095,3,668
1921,3,652
705,3,585
534,3,572
7205,3,1028
6337,3,977
4164,3,843
3995,3,831
3962,3,828
3859,3,817
3710,3,796
3034,3,724
2937,3,713
2924,3,708
2464,3,684
1714,3,641
1158,3,615
592,3,576
553,3,573
348,3,556
299,3,553
165,3,538
75,3,518
31,3,501
